15	886152427144	B12102001 	LA PAZ	01	BERRICS MENS	BLK 	BLACK	XX	S   	69.5	0			
15	886152427151	B12102001 	LA PAZ	01	BERRICS MENS	BLK 	BLACK	XX	M   	69.5	0			
15	886152427168	B12102001 	LA PAZ	01	BERRICS MENS	BLK 	BLACK	XX	L   	69.5	0			
15	886152427175	B12102001 	LA PAZ	01	BERRICS MENS	BLK 	BLACK	XX	XL  	69.5	0			
15	886152427182	B12102001 	LA PAZ	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	69.5	0			
15	886152427199	B12102001 	LA PAZ	01	BERRICS MENS	RED 	DEEP RED	XX	S   	69.5	0			
15	886152427205	B12102001 	LA PAZ	01	BERRICS MENS	RED 	DEEP RED	XX	M   	69.5	0			
15	886152427212	B12102001 	LA PAZ	01	BERRICS MENS	RED 	DEEP RED	XX	L   	69.5	0			
15	886152427229	B12102001 	LA PAZ	01	BERRICS MENS	RED 	DEEP RED	XX	XL  	69.5	0			
15	886152427236	B12102001 	LA PAZ	01	BERRICS MENS	RED 	DEEP RED	XX	XXL 	69.5	0			
15	886152415882	B12103001 	CRESENT	01	BERRICS MENS	BLK 	BLACK	XX	S   	32.5	0			
15	886152415899	B12103001 	CRESENT	01	BERRICS MENS	BLK 	BLACK	XX	M   	32.5	0			
15	886152415905	B12103001 	CRESENT	01	BERRICS MENS	BLK 	BLACK	XX	L   	32.5	0			
15	886152415912	B12103001 	CRESENT	01	BERRICS MENS	BLK 	BLACK	XX	XL  	32.5	0			
15	886152415929	B12103001 	CRESENT	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	32.5	0			
15	886152415936	B12103001 	CRESENT	01	BERRICS MENS	HGR 	HTR GREY	XX	S   	32.5	0			
15	886152415943	B12103001 	CRESENT	01	BERRICS MENS	HGR 	HTR GREY	XX	M   	32.5	0			
15	886152415950	B12103001 	CRESENT	01	BERRICS MENS	HGR 	HTR GREY	XX	L   	32.5	0			
15	886152415967	B12103001 	CRESENT	01	BERRICS MENS	HGR 	HTR GREY	XX	XL  	32.5	0			
15	886152415974	B12103001 	CRESENT	01	BERRICS MENS	HGR 	HTR GREY	XX	XXL 	32.5	0			
15	886152415981	B12103001 	CRESENT	01	BERRICS MENS	WHT 	WHITE	XX	S   	32.5	0			
15	886152415998	B12103001 	CRESENT	01	BERRICS MENS	WHT 	WHITE	XX	M   	32.5	0			
15	886152416001	B12103001 	CRESENT	01	BERRICS MENS	WHT 	WHITE	XX	L   	32.5	0			
15	886152416018	B12103001 	CRESENT	01	BERRICS MENS	WHT 	WHITE	XX	XL  	32.5	0			
15	886152416025	B12103001 	CRESENT	01	BERRICS MENS	WHT 	WHITE	XX	XXL 	32.5	0			
15	886152416032	B12103002 	ROBINSON	01	BERRICS MENS	BLK 	BLACK	XX	S   	39.5	0			
15	886152416049	B12103002 	ROBINSON	01	BERRICS MENS	BLK 	BLACK	XX	M   	39.5	0			
