15	886152427144	B12102001 	BLK 	XX	S   	20	AT ONCE	
15	886152427151	B12102001 	BLK 	XX	M   	20	AT ONCE	
15	886152427168	B12102001 	BLK 	XX	L   	20	AT ONCE	
15	886152427175	B12102001 	BLK 	XX	XL  	20	AT ONCE	
15	886152427199	B12102001 	RED 	XX	S   	20	AT ONCE	
15	886152427205	B12102001 	RED 	XX	M   	20	AT ONCE	
15	886152427212	B12102001 	RED 	XX	L   	20	AT ONCE	
15	886152427229	B12102001 	RED 	XX	XL  	20	AT ONCE	
15	886152427236	B12102001 	RED 	XX	XXL 	8	AT ONCE	
15	886152415882	B12103001 	BLK 	XX	S   	14	AT ONCE	
15	886152415899	B12103001 	BLK 	XX	M   	20	AT ONCE	
15	886152415905	B12103001 	BLK 	XX	L   	9	AT ONCE	
15	886152415912	B12103001 	BLK 	XX	XL  	20	AT ONCE	
15	886152415929	B12103001 	BLK 	XX	XXL 	5	AT ONCE	
15	886152415943	B12103001 	HGR 	XX	M   	14	AT ONCE	
15	886152415950	B12103001 	HGR 	XX	L   	8	AT ONCE	
15	886152415967	B12103001 	HGR 	XX	XL  	20	AT ONCE	
15	886152415981	B12103001 	WHT 	XX	S   	13	AT ONCE	
15	886152415998	B12103001 	WHT 	XX	M   	20	AT ONCE	
15	886152416001	B12103001 	WHT 	XX	L   	20	AT ONCE	
15	886152416018	B12103001 	WHT 	XX	XL  	20	AT ONCE	
15	886152416032	B12103002 	BLK 	XX	S   	20	AT ONCE	
15	886152416049	B12103002 	BLK 	XX	M   	20	AT ONCE	
15	886152416056	B12103002 	BLK 	XX	L   	20	AT ONCE	
15	886152416063	B12103002 	BLK 	XX	XL  	20	AT ONCE	
15	886152416070	B12103002 	BLK 	XX	XXL 	9	AT ONCE	
15	886152416087	B12103002 	HGR 	XX	S   	14	AT ONCE	
15	886152416094	B12103002 	HGR 	XX	M   	20	AT ONCE	
15	886152416100	B12103002 	HGR 	XX	L   	20	AT ONCE	
15	886152416117	B12103002 	HGR 	XX	XL  	19	AT ONCE	
15	886152416131	B12103002 	NVY 	XX	S   	17	AT ONCE	
